I'm kinda sleepy. might go and read #eclipse and then sleep.	eclipse	eclipse	Eclipse
well, f*#k. not looking good for iranian peeps.  damn it.	k	K	k
#pmqs is unsurprisingly rather rowdy this morning	pmqs	pmqs
Clobbered on thehead with 14" 2x4, ouch no good, may need stiches   #stupidaccident	stupidaccident	stupid accident
#sfopera people are exchanging bracelets right in front security to get onto the field	sfopera	SF Opera	sfopera
Have to finish a PowerPoint presentation before tomorrow morning  #workingonSundaynight	workingonSundaynight	working on Sunday night
@growline #SwineFlu is now called #MexicanFlu because it has nothing to do with Swines	SwineFlu	Swine Flu
#randomsentence I'm doing the Kitty - Hardcore style	randomsentence	random sentence
Waiting for the template .. no input got from #graphics team  #web #php	graphics	Graphics	graphics
About to leave for #rockontherange.  If you need me, DM so I'll be sure to get it on my phoen.  @somegirl1991 I'll try!	rockontherange	rock on the range
revised schedule for #PRONES #NMT project	NMT	NMT
I love the number of emails,texts,calls and DMs I'm getting asking if I'm nervous about #levywedding	levywedding	Levy wedding
@nikski @thegyppo any plans tonight?  We at #meljel looking for inspiration but thinking Lil Creatures on Brunswick is a good back up..	meljel	Meljel
#Tweetlord is a twitter role playing game! Check us out at http://www.tweetlord.com, we have adorable avatars and funky items  @TLGame	Tweetlord	tweet lord
Finished writing the script for #Stockpile's little promo video  I'll edit it and record the VO later. Off to grab some groceries now...	Stockpile	Stockpile
@rcmckill haaa! its not like we have alot of NHL choices in Iowa!!  Give the #Blackhawks another chance. I never give up on the #Blues	Blackhawks	blackhawks
'F is undefined' #fuck #jquery #slider (via @helmi) nothing personal helmi. But funny tweet	slider	slider
I ordered it!! I should be getting my Medical ID bracelet by the end of June!!  YAY! #diabetes #type1	type1	type 1
Don't leave rogue commas at the end of js lists, they'll break you scripts on IE. 1H wasted  #protip #IE6 #IE7 #Explorer	protip	pro tip
off to see new Terminator for #GeekPanel, which I was really excited about until everyone in the US shit-canned it	GeekPanel	geek panel
Just leaving office. Won't be able to make it to #satleo @wanderblah @Krist0ph3r @shaaqt next time	satleo	satleo
#musicmonday artist of the month (may)  #boniver	boniver	boniver
@andyblackburn Ty Sir  #Gambling #followfriday	Gambling	gambling
Time to hear the bad/good news at #crucible.	crucible	crucible
@Glasgowlassy heehee I'm still a #sleepypussy  how ya?	sleepypussy	sleepy pussy
Excited for costuming at #blizzcon   Wish more people I know are going though :/	blizzcon	blizzcon	Blizz Con	blizz con
Following on from @thegoodcount 's #faithnomorehour into #mrbungle hour! Thanks Mike Patton!	mrbungle	mr. bungle	mr bungle
OK, Tweople frm #kolkata U want to follow more people from #kolkata twitterverse, chk out http://bit.ly/wQwQx Find tons of them  @iMBA	kolkata	Kolkata
#Twitter fail? I can't block the #spam people	Twitter	Twitter	twitter
@wahliaodotcom that sounds fantastic. i get 2 meet the #sgtweeps and #photoshoot at the same time  wl be glad to learn some ropes! at whr?	sgtweeps	SG Tweeps
Congrats to #BrandonFlowers, who is expecting his second child.	BrandonFlowers	Brandon Flowers
gutted to discover @bounder is going to make a 'digital' version of the cardboard 'totaliser' I'm making for #weshareDI  #bluepeter	weshareDI	we share DI	weshare DI
I spend more than a minute or so writing a single tweet, is that normal? :S #weird #ineedhelp	ineedhelp	I need help
@iainmhepburn you go out in sun, i'll do it. I'll be watching anyway  #scottishcup ?	scottishcup	scottish cup	Scottish Cup
Idiot Human is into #anthropomorphism. Gonna give him something to think about and work on some expressions. First up - Disdain	anthropomorphism	anthropomorphism
Ok, Web Sharing is very disappointing  #Merlin 2	Merlin	Merlin	merlin
Also... @earthXplorer @DanTraveling @lonelyplanet @brianepeters #travel #backpacking hope you enjoy our pics & videos	travel	travel
Ok seriously, what just happened? Should I just walk to Chinatown? Still on Amtrak for now. I saw 2 fatalities...?  terrible...#wmata #dc	dc	DC	dc
@piriya got a strangely efficient but ever so ugly layout in #rc...	rc	RC
@techlifeweb #youknowyouareoldwhen you remember what an E ticket is!	youknowyouareoldwhen	you know you are old when
So...I JUST GOT LVATT!  #BlackKeys, #MuchBetter, #FlyWithMe, #TurnRight, #WhatDidIDoToYourHeart, #HeyBaby, & #PoisonIvy: FAVORITES!	BlackKeys	Black Keys
Im God & if you don't believe me... You're the Devil!!!! #Myweakness Women now get away from me you Demons	Myweakness	My weakness
#faviphoneapp Black Book. But since I only have a Touch it's not as fun.  But it's still a great junt organizer	faviphoneapp	favi phone app	fav iphone app
I *know* coveritlive mobile works on an iPhone.  but apparently I don't have one of those  #txdla09	txdla09	txd la 09	txdla 09	txdla09	TXDLA 09
@gaurhoth @casi it's already there. Just prepend a "-" to you keywords. "-spymaster" will be just fine  #mixero #negativefilters	negativefilters	negative filters
Found out that TrailGuru app is working again and my routes have been poseted! yay!  #trailguru #iphone	trailguru	trail guru	trailguru
@SisterDiane Aw, man, I wasn't feeling too sad about not being there until you said that!   #mf09 #mythbusters	mythbusters	mythbusters	MythBusters	myth busters
I feel like getting wasted right now, but I have nothing to drink  #wasted #drunk #plowed	wasted	wasted
my #fantasy girl is sad because my psychosis. Going to see my therapist the next time.	fantasy	fantasy
the circle of knife  #Simpsons	Simpsons	Simpsons
#tdc trending 9th right now on Twitter - keep tweeting!	tdc	TDC	tdc
@alidllesdazed c if u can get hold of yesterdays RN#allinthemind-stunning show, left me speechless, hey u waiting, don't got all day	allinthemind	all in the mind
call 888-880-4980 for support for #Eric.  He's doing pretty badly   Keep him in your prayers as well	Eric	eric	Eric
now i know the cause of crash in #mbpurple. handshake error and write error! no more	mbpurple	mbpurple
I am so freakin sore today! My personal trainer earned her $$$ last night.  Hoping I can move around today  #pain #fitness #ouch	fitness	fitness
I've been ask to do more business #mentoring for some clients of mine.  I'm finding great rewards in doing that.  I should start a site.	mentoring	mentoring
#magictwackle So excited about tonights game! This will be huge if we beat them at home again!!!!!~Megan	magictwackle	magic twackle	magictwackle
What's your fav milkshake place in #flagstaff ? #flg needing a creamy delightful pick me up	flg	flg
Its been almost 2yrs since i used #Delphi for web development, need at least 3 ful days to get reoriented	Delphi	delphi	Delphi
instead of #wedding photography I will be documenting the exhibition #Babywelt this Saturday in #Hamburg - a welcome change	Hamburg	hamburg	Hamburg
Looking forward to #webdevfulda meetup tomorrow: http://is.gd/M77y If you're around: Join us!	webdevfulda	WebDevFulda	web dev fulda	webdev fulda
#golden sentences: Johnny Green: Worship is like a compass - it shows you where your North is. Perfect!	golden	golden
I love Lady Gaga!  #tokiohotel	tokiohotel	Tokio hotel	tokio hotel
trying to book flight to #agile09.500+ pounds, with Delta  this is gonna be so expensive. worth it? my 1st time presenting at a conference	agile09	Agile 09	agile 09	agile09
Me, too !! You're right @graywolf , they are #fool people selling #stupid #tools .	fool	fool
guess what, my @wannadevelop twitter profile is more popular than @iamdiddy according to @google --- hahaha... sorry, diddy! #iamking	iamking	i am king
Ok guys - we've officially launched new languages #Swedish and #Russian - really fun, if you ask me!  www.surveypirate.com	Swedish	Swedish
@AiyerChitra: I spoke with ABT Maruti. They have put me on the waiting list for the next 2 months due to heavy demand.  #Swift	Swift	Swift
rent at $3,500/mo. in San Fran. dear lord! i realize it's CA but man, that's just surreal to think about. i love NE.  #iliveinomaha	iliveinomaha	I live in Omaha
@creuther hey wie geil^^ #cinemassacre rulez;) "Im the angry videogame nerd"	cinemassacre	cinemassacre
Off to #broadwaymarket for cheese, tapinade and that kind of thing. Hiring canoes later with @josiecapell (probably). Should be a fun day	broadwaymarket	broadway market
The 228 people who lost their lives in the Air France Flight 447 crash are in my thoughts and prayers.  #airbus #a330-200 #airfrance	a330	a330	A330
#CSH anyone know how to save the data from my fked HD.    . Read previous tweets to get details.	CSH	CSH
oh how I wish I'd got some warrior queens  but $ did not permit. However I await Spiked Punch. That should console me. #bpal	bpal	BPAL	bpal
Flight to KLU is late, one our. Will stay in KLU for 5h  and then going to Stockholm for #p2p-next meeting	p2p	p2p
@jopinion Emergence VI in Channelside tonight  www.emergetampabay.org #Emergence	Emergence	emergence
Goodbye Angel! We'll miss you  #FarrahFawcettRIP	FarrahFawcettRIP	Farrah Fawcett rip
@eponymouscom Given the fluidity of line-up changes how about #fantasyfrost     10-1 Martin Orford joins before Chrimbo...	fantasyfrost	fantasy frost
@ILikeBubbles I keep trying to think up something for your #FlowchartFriday but my mind is stubbornly blanking	FlowchartFriday	Flowchart Friday
I think #qaf is starting to rival #x-files as my favorite tv show.  Tragic that neither are on tv anymore	qaf	QAF	qaf
@Jazifer you're gonna get there first? Let's tag team beat the crap out of the twat k?  #groban + RAH Chess was amazing.	groban	Groban
@mskitty0303 no #tad 4 me tonight	tad	tad
#deefamouss whats new with you babes its been a while  i dont know you anymore life style of the rich and famouss i guess	deefamouss	dee famouss
When predictive text fails - just asked the Mrs if she would bake me some home-made circuits when she gets home  #predictivetext	predictivetext	predictive text
#UI / #UX talent required in Cambridgeshire  Got the skills? #idealpeople	UX	UX
@TheDrakeHotel hey there, just tried to email you in regards to the job but the message keeps on bouncing back.  #cooljob #coolpeople	coolpeople	cool people
Hour ride today, tired, didn't push very hard. Legs are sore.  #project1903	project1903	project 1903	project1903
Whoa...on sale for just a few hours and tickets for @smbmsp 16 at #PartnerUp are sold out? Apparently I'm not going...	PartnerUp	partner up	PartnerUp
Kicked W3D1 of #c25k ass tonight!! Actually found myself smiling through the longer runs	c25k	C25K
no Rant n Rave Radio today  co-host phoned in crook. you can enjoy past shows. no doubt we'll do a make up show #rant #radio #talkback	radio	radio
gps-trace from last hiking has quite bad quality, too small valleys and a lot of forests  #openstreetmap	openstreetmap	OpenStreetMap
Happy Mothers day to all the moms  #tcot #tlot #gop #rpof	rpof	rpof
@hinehou Ohhh i always wanted to go to #Chow as well!	Chow	Chow
So...  LA Ladies NIght is back next Monday! Join us as we sip vino and talk about... boys!?!  Yup, next Monday at 8 pm Pacific!  #LALN\	LALN	laln	LA LN	LALN
suhweet! a little early morning hacking and got iphone 3.0 beta5 to do MMS again, sending and receiving.  #iphone3G #iphone3.0	iphone3G	iphone 3g	iPhone 3g	iPhone 3G
Final show of #Alive '09 coming up.  Sad to see it go	Alive	alive
@Packard_Sonic This is not a valid link, it's just a joke  #quickpwn	quickpwn	Quick Pwn
http://tinyurl.com/nd9w7x #honda #fuzo damn... i want this! where i can put a preorder?	fuzo	fuzo
For #chanel and #fashion fans, this movie may appeal to you all. Coco avant Chanel - http://bit.ly/9okd5   x	fashion	fashion
@RobbEason Wonder if there's a bootleg of your Paradise show.  I have about 2000 versions of #Replacements #Westerberg songs but not that	Replacements	Replacements
@jamie_oliver Hi Jamie, what is this #JamiesTwitchen malarky, I'm new to Twitter?	JamiesTwitchen	Jamies Twitchen
@core_APPLER lmao. Whyy? And yes I'm watchin #kickingandscreaming	kickingandscreaming	kicking and screaming
#hcn09 customer council revolution may be lead by the progressives - Henry Ford, Mayo, Duke & ... @ePatientDave 's of the world	hcn09	HCN 09
When it's 93 degrees outside, I wished I was a student again working PT so I could go sit on the lake today!  #sad	sad	sad
No backpacks from #nfjs this year. Too bad	nfjs	nfjs
#green #comedy You're racist against green people!  http://short.to/cbv7	comedy	comedy
listening to #linesvinesandtryingtimes right now	linesvinesandtryingtimes	lines vines and trying times
they shouldn't have killed #michaelscofield in #prisonbreak....It's so sad	michaelscofield	Michael Scofield	michael scofield
Leaving #howitends	howitends	how it ends
@taylormcfly aww lol! why was he been mean to you? ayee we should..today #danny jones day.. tomorrow.. #dougie poynter day	danny	Danny
#afl #aflfooty, I'm hoping for a dons fightback	aflfooty	afl footy
@sathyaphoenix nope.. was using earbuds al d time. sterday wen i chked spkrs wernt working.   #iwwitation	iwwitation	iwwitation
@BabyMikey74 yeah, its escorts who have some sort of #ageplay or even  mention #adultbaby play on their profiles. there arent many	adultbaby	adult baby
google voice is nice for us #oldtimers from the #grandcentral days,  but I miss right clicking "dial" on google maps #nowihavetocutnpaste	grandcentral	Grand Central	grand central
@DuckyDoesTV They lost me at US ending. ;) I, mean, I don't eat #GreyPoupon or anything, but I prefer the bleaker original.	GreyPoupon	Grey Poupon
@CateP36 haha!  Thats awesome! Just wish Hanks would do some comedies again  #tomhanks	tomhanks	Tom Hanks
ffs this is the last thing I need  #iphoneupdateiscrap	iphoneupdateiscrap	Iphone update is crap
I hate when I know there is a rice grain up my nose. & then when I try blowing my nose, it gets all dry & it hurts  #tmi? or no.	tmi	tmi	TMI
With @gilit at #BarGurion kidless feeling singles again  http://twitpic.com/4e4ha	BarGurion	Bar Gurion
@Nuff55 Thank goodness... I felt SO bad!  #warmfuzzies to you both!	warmfuzzies	warm fuzzies
Why does #googledocs do folders, instead of labels like #gmail? I kind of like labels	googledocs	Google Docs	google docs
#i36 Hope I'm feeling better by thursday, will be seriously annoyed if I'm ill over LAN	i36	i36
@shannonpaul why not? #nachos	nachos	nachos
We got kicked off Venice beach for filming #teamftsk episode 2 without a producers permit 30 seconds b4 we wrapped. Might delay release	teamftsk	team ftsk
@iamdoddy And thank you so much for the follow!  #followdoddy	followdoddy	follow doddy
thinks that #sandwiches are a basic #food staple: most everything is one. Take an external shell and stuff it. There you go!	sandwiches	sandwiches
im Pub in Brighton: Sunday roast, a pint of ale, #gruenevw und EU-Wahlen	gruenevw	gruene vw	gruenevw	grueneVW
Can't access USPS.com APO Customs Forms to mail my #military care packages. Guess I'll have to stand in line and fill them out.	military	military
My bestie changed her username to #LeeshPauGasol. Uh-oh! Love bi-polar!!! haha.	LeeshPauGasol	leesh pau gasol
The Plaza de Armas. No tourists !  #originals #prstories http://znl.me/D4WCN	originals	originals
@acesinzeroland  #Chuck is always a great way to end the evening! Enjoy!	Chuck	Chuck
Nvm, I fixed the problem. Cool, going to do the #gsrollcall pic tomorrow!	gsrollcall	gs roll call	GS Roll Call	GS roll call
Just woke up and still excited for the stuff we saw in #XboxE3, now the unfortunate waiting game	XboxE3	Xbox E3
ok, one more post-RadioSuzy1 show/orgy tweet, & then it's time to slide into bed to DO the husband  #twittersex #sex	sex	sex
#Horoscope #Scorpio -You may find today that all is well on the domestic front.  http://tinyurl.com/o2hufk	Horoscope	Horoscope
#Igive thanks for Vodafone taking two lots of payments out of my account and overdrawing it and then taking over a week to recredit me.	Igive	I give
@COLORADOORGANIC #soapguild09 Fantastic! We will be thrilled to have you.	soapguild09	Soap Guild 09
#sinatra on #appengine is parsing the JSON request body into a crazy Hash that doesn't work, and I can't get the raw request anywhere	appengine	app engine
@salilravindran: is #igate on twitter? I saw one as igate_west... why would they bring their divisions onto twitter?	igate	IGATE
@bylertrewington I know. Me, you, and @wahooweena have #twelvehourtuesdays	twelvehourtuesdays	twelve hour tuesdays
T-minus 46 hours and COUNTING!  #Guatemala HERE I COME!  #dtravels - @giramonda see you soon	dtravels	dtravels	d travels	Dtravels
@iEhab I believe you will find more channels prodcasting it than sports channels in League Days  #Obama #Egypt (@sadekhm)	Egypt	Egypt
#astd09 -- I think I'm the only one twittering from ASTD's Virtual Conference - I feel so alone!!!	astd09	astd09	astd 09
#iancrawford... i miss you already	iancrawford	Ian Crawford
Going out tonight is canceled...  i'm really disappointed. Only crap partys in DD. #Dresden #Party	Party	party
Jess please wake up.  Please.  I need you. #thisismewhining #imissjess #sorryyouhaftalisten #turningintotravis	imissjess	i miss jess	I miss Jess
coffee break over. music performance by Ginger & Greg. Shanghai Jazz. http://www.tudou.com/home/tedxshanghai #tedxsh	tedxsh	tedx sh	tedxsh	TEDxSh	TEDxSH
no problem!  how are you doing?   I'm  glad to see you on the stream! @humzayasin  #photographer #photography #togsfollow	togsfollow	togs follow
#ImACelebrityGetMeOuttaHere StephenBaldwin= Don't you know who my big brother is? LOL	ImACelebrityGetMeOuttaHere	I'm a celebrity get me outta here
@vlaclair Bad Seed, Bad Seed!  Great times at #CLC09	CLC09	CLC 09	CLC09
Half time and #crows are playing awesome  yellow magets pissing me off today! Having fun with @annamalgorzata.	crows	crows
i'm sad none of my friends are here  #club231	club231	club 231
using #rails and #firebird is so cool, too bad rake db:create does not work though	firebird	Firebird
blackjackvt is gonna be owned by affiliates  its all flash #aac	aac	aac	AAC
Packing for #bb09 http://bit.ly/BjQft to present Malagasy citizen media's work  during #Madagascar crisis;  meanwhile iphone melted	Madagascar	Madagascar
#teapix isn't working for me  I WANT TO SEE THE TEAMAGEDDON! Alas, I blame my internet connection.	teapix	Teapix
50% korting @ ZAGG (Invisible Shield voor Mac, Nikon, iPod,...) - gebruik "memday09" bij check-out  #invisibleshield	invisibleshield	invisible shield
Dr. Kho's lawyer is among my legal heroines.  I wonder what LPK's fellow humanitarian law advocates are thinking now.  #Kho #Halili	Kho	kho
Left #Posh with #NewYorkCityBoy from #PetShopBoys. What a marvellous song for the last night! Enjoyed #NYC so much a get some new friends	NewYorkCityBoy	New York City Boy
@craftybeans so begins my jealousy as I see what everyone is playing while I'm not at #OasisOfFun  Enjoy!	OasisOfFun	Oasis Of Fun
they surrounded Shiraz university, and took the students with them. who knows if they are alive.  #iranelection#iranians	iranians	Iranians
c'mon people let's get #lifeafterliftoff a trend !!! if not for me then do it for @Leeweiss because hes so damn good-looking !	lifeafterliftoff	life after lift-off
Importing #Netbeans sources into #Eclipse feels kind of strange	Eclipse	eclipse
@Astro_Mike Awesome.  Is there a way to search by long/lat? I'd love to see if you snapped a pick of #Michigan by chance	Michigan	Michigan
@CiaranCuffe  #bludget #B09 But Budget 09 happened in October, remember?	B09	B09	B 09
Has just put down cow tipping with @CRom1 on his to do list, as she seems to be a real expert  why is there a conf on that tho?#brainfail	brainfail	brain fail
My 3yo son's first concert: They Might Be Giants, Berklee Performance Center, Boston, last Saturday  #firstgig	firstgig	first gig
I just committed to prepare, buy and eat more local food at http://www.eatrealeatlocal.ca. #realfood REPOST THIS	realfood	real food
Got myself a silver Gameboy Micro for 12 bucks! All I need now are some cool games  Tips? #gba #nintendo #gameboy	gameboy	Game Boy
I thought I'd wake to hear of #PwnageTool release, still no?	PwnageTool	pwnagetool	PwnageTool
Can't code #html with #bespin in #Firefox35 as every time I try to close a tag #Firefox35 it sets focus on the quick find feature.	bespin	Bespin
I pity the fool who has to write reports using MS SQL Reporting Services.  Oh wait, that's me.   #IPityTheFool	IPityTheFool	I pity the fool
@NAWBOLA yeah you missed it. No worries, I corrected the record on your behalf   #trivia	trivia	trivia
disappointed in the bottom 4  #masterchef	masterchef	master chef	Master Chef
@Mike_E Once went 110mph on a snow mobile, that was something going down a partial hill sans seat belt!  #speed	speed	speed
Weather.com says it is 61deg F - but it feels so warm inside  #summer #heat	heat	heat
Simon Colton: "Making iphone apps is an exercise in style over substance"  #game09	game09	game 09
@Hedgewytch Yes that clown only gets on my radar when he spews garbage. Unfortunately he does it a lot  Freespeech & all that. #stillaTwat	stillaTwat	still a twat
i ? #claritylive http://awe.sm/3E9 'mazing!  I was there! ahhhh!	claritylive	clarity live
So it's a deal. #koenigsegg buys #saab Koenigssaab, kingsaab or the more swedish kungasaab or kungssaab?  gl anyway, you'll need it.	saab	saab
I'm sad I can't make it to the tweet-up in #Eugene tonight!  Another one soon, maybe???	Eugene	Eugene
working furiously on my #multimania preso	multimania	Multimania
wrapping up @CedarParkTX stories for The Citizen, recovering from/reliving  @KNBTFM #AMJ by jamming @Sean_McConnell #musicmonday	AMJ	amj
@kaysesoze u drink mor than all th #g1freaks put togetha!	g1freaks	g1 freaks
@eTarzan yeah.. the Follow conversation option of #mixero is awesome! we don't have to wonder wht the convo is all abt anymore	mixero	Mixero
Just joined a twibe. Visit http://twibes.com/newmedia to join #followfriday @MetaKong -Because I once got robbed in Amsterdam  ! #MetaKong	MetaKong	Meta Kong
@tonytsheng :-D  Glad you enjoyed it!  We are enjoying doing it too.  Got a list of 20+ names from Twitter and Facebook.  #TweetiePoll	TweetiePoll	Tweetie Poll
#thingsImiss.  Her giggles on the phone, when I use to tell her stories before she goes to bed. She would be like "tell me a story"	thingsImiss	things I miss	things i miss
@petyosi Check Eric Raymond's Sex Tips for Geeks: http://catb.org/~esr/writings/sextips/  #antigeek	antigeek	anti geek
@evregirl That's my fav too!  #starwars #returnofthejedi	returnofthejedi	Return of the Jedi
@erinmillsliving some runners, some walkers but the primary motivation is a beer tent at the end, like to join us?  #teamym	teamym	Team YM	team ym	teamym
#iPhone has suddenly lost all contacts. I am using #Mobileme could that be an issue where it is down? This will at not be cool if all day	Mobileme	MobileMe
Well, the question as to whether I should get up at 5 has been sufficiently answered.  #NASA #STS-127 #Endeavor	NASA	NASA	Nasa
Just been informed that there exists a single pair of departmental wellies for staff use! There are 15 of us.  #CheesyWellies Ewww	CheesyWellies	Cheesy Wellies
I really need to change my profile pic  @danielsouza: #ux what about your digital representation (avatar)? http://twurl.nl/zxqrf4	ux	ux
@officespacejk  Play golf! Mow later!  #harpersglobe	harpersglobe	harper's globe
Yes! Second Mass Effect DLC (for original game) is coming!  http://tinyurl.com/qppz77 @biofeed #masseffect2 #E3 #Bioware	Bioware	Bioware	bioware
@PublicityHound Too hot to be out gardening for me, otherwise I would be out there all day as well!  #Gardners	Gardners	Gardners
@willwork4bacon glad i actually checked ur profile. For a sec figured u were a #baconbot glad to see a #baconlover instead!	baconbot	bacon bot
#tnb #howarewe 9/10 On my first stella of the day. Feeling grand!	tnb	TNB	tnb
#hoppus day is so amazing	hoppus	hoppus
@pixelbase I got her into #sushi before she was 1 year old - see this timestamped Youtube video for proof http://snurl.com/jiwun	sushi	sushi
Nice! Sci-fi at the colloseum  #jumper	jumper	jumper
#hattrick Cup game tonight, expecting a thrashing. Sunday however, first ever league game against my son. On Fathers Day! So I should win	hattrick	hattrick
#haveyouever picked up the phone to call someone to tell them something exciting and remebered they had died..I have	haveyouever	have you ever
Twitter is replacing everything, businesses using #jobs & #hiring to find employees  Hope this doesn't turn into another dating service..	hiring	hiring
#TwitHive seems to be a cool Twitter App. Looks like  the small TweetDeck Web Edition ... cant yet upload images  http://twithive.com	TwitHive	Twit Hive	TwitHive
Forgot my prox card.    #mlia	mlia	mlia
@darita Hahah exactly, considering #twitlet is the only reason why I got on Twitter   Big ups!	twitlet	twitlet
@sizemore  ahh there you are, thought you might be hiding! morning! you'll have to try a #coffeefu	coffeefu	coffee fu
is on her final day in DC.   Had too much fun at #sla2009. Happy to be able to sleep in my own bed but very sad to leave.	sla2009	Sla 2009	SLA 2009
@jeremyschneyer but then you thought, "nah. Nobody would be that dorky." #wrongagain.	wrongagain	wrong again
Stuffing envelopes  for mailout to Dundee. Next Dundee weekend #TEFL course is 4/5 July. Still places left.  Get you out of non-sunny UK!	TEFL	TEFL
Wow do I have a bad head cold...didn't even make it to the barn this weekend...looks nice out   #myfoxny	myfoxny	my fox ny
@siembra #mytwitterrule is to not personally confirm anything on twitter...ppl say they don't care	mytwitterrule	my twitter rule
@TimothyCarter ahh then I'd like the largest mug you've got.  #coffeesnob	coffeesnob	coffee snob
lil wayne is going on tour again BUT NOT COMING ANYWHERE NEAR ME  *sad* #MYLIFEISHARD	MYLIFEISHARD	my life is hard
@erin_bury @TheDirtyOne  #weatherfail #BIGTIME Wearing winter wooly sweater	weatherfail	weather fail
@VivWestlake  Bear us in mind if you do visit the #LakeDistrict	LakeDistrict	Lake District
@unstung *sigh* Yeah. One of my bosses is a #Rafa  devotee too	Rafa	Rafa
The end of #boyinthestripedpyjamas still makes me cry, even though I've watched this movie loads already  It's so sad	boyinthestripedpyjamas	boy in the striped pyjamas
I wish there were a Galt's Gulch in reality.  And I wish I was talented enough to live there    #tlot #anarchy #tvot	tvot	TVOT
#todady tonight is currently on	todady	todady	to dady
@mossyrants Heh! Can't you guess? #itshelensfault	itshelensfault	it's helen's fault	it's helens fault	it's Helen's fault
@mandamonium harden ... the ... fuck ... up ...  Actually, I love knowing you guys are on holiday drinking wine - enjoy  #ambientintimacy	ambientintimacy	ambient intimacy
back from collecting youngest son, time for #cuppa then back out at 4pm to get oldest from athletics, then hubby taking them snowboarding	cuppa	cuppa	Cuppa
I like it when libs follow me.  I feel the urge to say something 'offensive' to their little Messiah. #evil #tcot	evil	evil
@rmilana good for you and at least no bad news from her then   i'm great, just woke up not long ago. #hi5 #lo5 #side5 #throw5	side5	side 5	side5
@sotiriskoukios Au contraire. I was speaking of offline fashion... Mon faible  Now that a real #klouva's guarding our shops and ideas! =/	klouva	klouva
@sujithh is the bestest Mallu dude from Pallakad who has ever lived in Panvel.  #Mallu #Panvel #kde	Panvel	Panvel
Agh I just love "Weekend in Radiocity" from public broadcaster #KRO on #Dutch #Radio 6  Just my kind of music on a Saturday morning!	Dutch	dutch
My room is now littered with swag from #nacba09 and I'm still missing stamps!	nacba09	nacba 09
after #webcamp: coming up next --> mokcamp - in partnership with Lauxanh.us and former members of mocxi.com	webcamp	webcamp	Web Camp	web camp
@dani3boyz ..........And there I go. #unfollowed	unfollowed	unfollowed
#google #maps #android #latitude http://bit.ly/hUaL7  now with video	latitude	latitude
#mugrads2009 I'm a Mizzou Grad! Great job by everyone at the ceremony...I know the class of '09 is going on to amazing things!	mugrads2009	MU Grads 2009	mu grads 2009
one's gotta have friends online...  having a quick chat with @jschuller re news from yesterday's WordCamp. #scoop	scoop	scoop
discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow	NetPLAYER	Net PLAYER
@joeymcintyre I was trying to get your name in a trend by starting the game #whereisjoeymcintyre  we were having fun!!!!!!!!!!!	whereisjoeymcintyre	where is Joey Mcintyre	where is joey mcintyre
To HRST class - Don't forget to update your profile with a short summary, blog link, and #hrst tag for all your posts. It helps organize	hrst	hrst	HRST
#mygarage - new hashtag for the interesting rides that I sometimes find in my garage  http://twitpic.com/6qvkc	mygarage	my garage
It's raining on our parade  #europride	europride	Europride
@mcaroax ROFL! Eminem's next song will be interesting for sure  #Bruno #Eminem	Bruno	Bruno
have to take car to mechanic fml.  #talesfrmsurbs	talesfrmsurbs	tales frm surbs
php4 dead? Hell no! I'm heavily supporting it.  #life-sucks	life	life
#crossingtherubicon please help me get it into trending topics just for like a minute	crossingtherubicon	crossing the rubicon
'Vikas Swarup's Q And A' and 'The White Tiger' are the #books in my dad's next plans to buy. Yippie!! I too can read them	books	books
@unset Er war der Head of Platform Development (  http://is.gd/rcQU ). Eventuell ist die Plattform ja doch zu buggy geworden  #myonid	myonid	my on id	myonid	Myon id	myON ID	MyONID
Hey Tweeps! I made this fast Art Sketch.. What dya think?  http://rt.nu/lcq-    #henry alzamora	henry	Henry
@eugenekhoo The papers didnt mention anything when we hit #1 for #blogout09 early this year as well.	blogout09	Blogout09	blogout 09	Blogout 09	blogout '09
must be a swabians thing - But I like it  #schwaben   http://mobypicture.com/?w5s701	schwaben	schwaben
Off to #bed I am, I am	bed	bed
@diane1859 I always thought the trick was good ketchup rather than the fish finger itself (hence the weak pun on out-saucing  #fishfinger	fishfinger	fish finger
#Farrah Fawcett has passed away.  http://www.cnn.com/2009/SHOWBIZ/TV/06/25/obit.fawcett/index.html by @spokesnwheels [1611]	Farrah	Farrah
I want to go to #AdobeMAX. It's going to be in town in October! Too bad I can't afford it.	AdobeMAX	AdobeMAX
@Russian_Red  #oldschoolsongs http://bit.ly/124kAI  bet no one knows about that song  << Dont work	oldschoolsongs	old school songs
@Rayke I noticed there's a #musicmonday trend today on here ... I'm leaving it up to you to start some sort of #TitianTuesday trend.	TitianTuesday	TitianTuesday	Titian Tuesday
Since when instructables.com charges for tutorials??   #capitalism #fail	capitalism	capitalism
#kugis #Malta09 35.9157 14.4980 8/10 Really good practical experience! I've learnt a lot! Still recovering from the busy week	Malta09	Malta 09
So, watched videos from the @jonathancoulton concert from last July in #CLE, finished my pogo badges...  good morinng! Now work.	CLE	CLE
#sfgiants are in a #raindelay	raindelay	rain delay
@Vogelsong je viens de voir thanks ! #boulot	boulot	boulot
google voice is nice for us #oldtimers from the #grandcentral days,  but I miss right clicking "dial" on google maps #nowihavetocutnpaste	nowihavetocutnpaste	now i have to cut n paste
